1:2350000:2725000	1:2762500:3656250
12:89932500:90672500	12:91717500:92537500
12:91717500:92537500	12:92542500:93072500
12:92542500:93072500	12:93087500:93332500
12:93087500:93332500	12:93337500:93862500
12:93337500:93862500	12:93867500:94512500
12:93867500:94512500	12:94517500:94977500
12:94517500:94977500	12:96952500:97405000
12:96952500:97405000	12:97497500:97740000
12:97497500:97740000	12:97820000:98797500
12:97820000:98797500	12:100417500:100750000
12:100417500:100750000	12:100755000:101125000
12:100755000:101125000	12:101657500:102220000
12:101657500:102220000	12:102292500:102557500
12:102292500:102557500	12:102570000:103220000
12:102570000:103220000	12:103247500:104175000
12:103247500:104175000	12:104632500:105647500
12:104632500:105647500	12:105677500:105797500
12:105677500:105797500	12:105802500:106572500
12:105802500:106572500	12:107492500:108060000
12:107492500:108060000	12:108312500:108910000
12:108312500:108910000	12:108915000:109620000
12:108915000:109620000	12:109852500:110290000
12:109852500:110290000	12:110422500:110828125
12:110422500:110828125	12:110871250:111333750
12:110871250:111333750	12:111341250:111812500
12:111341250:111812500	12:112252500:112930000
12:112252500:112930000	12:112940000:113883125
12:112940000:113883125	12:114412500:115047500
12:114412500:115047500	12:116347500:116752500
12:116347500:116752500	12:116811875:117162500
12:116811875:117162500	12:117180000:117660000
12:117180000:117660000	12:117675000:118315000
12:117675000:118315000	12:118397500:118885000
12:118397500:118885000	12:118897500:120107500
12:118897500:120107500	12:120335000:120557500
12:120335000:120557500	12:123230000:123447500
12:123230000:123447500	12:123452500:123742500
12:123452500:123742500	12:123747500:124210000
12:123747500:124210000	12:124230625:124492500
12:124230625:124492500	12:127537500:128242500
12:127537500:128242500	12:129075000:130127500
12:129075000:130127500	12:131222500:131623125
12:131222500:131623125	12:133426875:133828960
12:133426875:133828960	13:20747500:21050000
13:20747500:21050000	13:22132500:23141250
13:22132500:23141250	13:23847500:24492500
13:23847500:24492500	13:24535000:24985000
13:24535000:24985000	13:25135000:25371250
13:25135000:25371250	13:27547500:27922500
13:27547500:27922500	13:27927500:28587500
13:27927500:28587500	13:28592500:28862500
13:28592500:28862500	13:28885000:29470000
13:28885000:29470000	13:29525000:29967500
13:29525000:29967500	13:29982500:30697500
13:29982500:30697500	13:30702500:31482500
13:30702500:31482500	13:32837500:33145000
13:32837500:33145000	13:33150000:33245000
13:33150000:33245000	13:33250000:33627500
13:33250000:33627500	13:33647500:34520000
13:33647500:34520000	13:34605000:35895000
13:34605000:35895000	13:36805000:37625000
13:36805000:37625000	13:39520000:40205000
13:39520000:40205000	13:40222500:41337500
13:40222500:41337500	13:41465000:41637500
13:41465000:41637500	13:41642500:41802500
13:41642500:41802500	13:41907500:42232500
13:41907500:42232500	13:42237500:42872500
13:42237500:42872500	13:42877500:43167500
13:42877500:43167500	13:43525000:43682500
13:43525000:43682500	13:43777500:44442500
13:43777500:44442500	13:44447500:45040000
13:44447500:45040000	13:45045000:45575000
13:45045000:45575000	13:45585000:45927500
13:45585000:45927500	13:46112500:46547500
13:46112500:46547500	13:46712500:46995000
13:46712500:46995000	13:47020625:47490000
13:47020625:47490000	13:47505000:48415000
13:47505000:48415000	13:48485000:48852500
13:48485000:48852500	13:48877500:49162500
13:48877500:49162500	13:49172500:49377500
13:49172500:49377500	13:49860000:50207500
13:49860000:50207500	13:50225000:50442500
13:50225000:50442500	13:50447500:51687500
13:50447500:51687500	13:51892500:52828750
13:51892500:52828750	13:52866250:53087500
13:52866250:53087500	13:59860000:60212500
13:59860000:60212500	13:60290000:61215000
13:60290000:61215000	13:63875000:64379375
13:63875000:64379375	13:68491250:70202500
13:68491250:70202500	13:73257500:74282500
13:73257500:74282500	13:74287500:75002500
13:74287500:75002500	13:76212500:76447500
13:76212500:76447500	13:76452500:77162500
13:76452500:77162500	13:77217500:77562500
13:77217500:77562500	13:77567500:77782500
13:77567500:77782500	13:77787500:78080000
13:77787500:78080000	13:78117500:78362500
13:78117500:78362500	13:78367500:78702500
13:78367500:78702500	13:79982500:80255000
13:79982500:80255000	13:80400000:81587500
13:80400000:81587500	13:81641250:82350000
13:81641250:82350000	13:84102500:85405000
13:84102500:85405000	13:88942500:89742500
13:88942500:89742500	13:90795000:91512500
13:90795000:91512500	13:91635000:92482500
13:91635000:92482500	13:94585000:95067500
13:94585000:95067500	13:95072500:95305000
13:95072500:95305000	13:96672500:97527500
13:96672500:97527500	13:99050000:99435000
13:99050000:99435000	13:99450000:99775000
13:99450000:99775000	13:99912500:100100000
13:99912500:100100000	13:100262500:101397500
13:100262500:101397500	13:101417500:101757500
13:101417500:101757500	13:101860000:102565000
13:101860000:102565000	13:103202500:103572500
13:103202500:103572500	13:105210000:106080000
13:105210000:106080000	13:107785000:108670000
13:107785000:108670000	13:108832500:109582500
13:108832500:109582500	13:109592500:110852500
13:109592500:110852500	13:111087500:111602500
13:111087500:111602500	13:111702500:112182500
13:111702500:112182500	13:112468750:113130000
13:112468750:113130000	13:113578125:114095000
13:113578125:114095000	13:114105000:114241250
13:114105000:114241250	13:114717500:115099884
13:114717500:115099884	14:19365625:20725625
14:19365625:20725625	14:21452500:21607500
14:21452500:21607500	14:21632500:22077500
14:21632500:22077500	14:23037500:23402500
14:23037500:23402500	14:23407500:23577500
14:23407500:23577500	14:23932500:24042500
14:23932500:24042500	14:24052500:24422500
14:24052500:24422500	14:24427500:24955000
14:24427500:24955000	14:25177500:25647500
14:25177500:25647500	14:31007500:31307500
14:31007500:31307500	14:33417500:34035000
14:33417500:34035000	14:34300000:34806250
14:34300000:34806250	14:34971250:35512500
14:34971250:35512500	14:35585000:35947500
14:35585000:35947500	14:35962500:36322500
14:35962500:36322500	14:36327500:36890000
14:36327500:36890000	14:38280000:38770000
14:38280000:38770000	14:39497500:39961250
14:39497500:39961250	14:41692500:41987500
14:41692500:41987500	14:45322500:45847500
14:45322500:45847500	14:50035000:50625000
14:50035000:50625000	14:50747500:51005000
14:50747500:51005000	14:51010000:51367500
14:51010000:51367500	14:51610000:52232500
14:51610000:52232500	14:52237500:52472500
14:52237500:52472500	14:53271250:53758125
14:53271250:53758125	14:54822500:55302500
14:54822500:55302500	14:55455000:55652500
14:55455000:55652500	14:55657500:55912500
14:55657500:55912500	14:56142500:56942500
14:56142500:56942500	14:56947500:57997500
14:56947500:57997500	14:58255000:58502500
14:58255000:58502500	14:58585000:58937500
14:58585000:58937500	14:58942500:59377500
14:58942500:59377500	14:59530000:60072500
14:59530000:60072500	14:60082500:60392500
14:60082500:60392500	14:60397500:60512500
14:60397500:60512500	14:60517500:60667500
14:60517500:60667500	14:61052500:61649375
14:61052500:61649375	14:62362500:62647500
14:62362500:62647500	14:62652500:63802500
14:62652500:63802500	14:63807500:64247500
14:63807500:64247500	14:64252500:64778750
14:64252500:64778750	14:64786250:65122500
14:64786250:65122500	14:65245000:65470000
14:65245000:65470000	14:65582500:66647500
14:65582500:66647500	14:66777500:67810000
14:66777500:67810000	14:67815000:68037500
14:67815000:68037500	14:68042500:68237500
14:68042500:68237500	14:68292500:69335000
14:68292500:69335000	14:69340000:69595000
14:69340000:69595000	14:69687500:69982500
14:69687500:69982500	14:70047500:70270000
14:70047500:70270000	14:70291875:70730000
14:70291875:70730000	14:71277500:71567500
14:71277500:71567500	14:71572500:72332500
14:71572500:72332500	14:72375000:72872500
14:72375000:72872500	14:72887500:73437500
14:72887500:73437500	14:73605000:73957500
14:73605000:73957500	14:74160000:74540000
14:74160000:74540000	14:75277500:75382500
14:75277500:75382500	14:75392500:75575000
14:75392500:75575000	14:75580000:75782500
14:75580000:75782500	14:75787500:76147500
14:75787500:76147500	14:76152500:76485000
14:76152500:76485000	14:77227500:77602500
14:77227500:77602500	14:77872500:78302500
14:77872500:78302500	14:78307500:79160000
14:78307500:79160000	14:79530000:80495625
14:79530000:80495625	14:81357500:81717500
14:81357500:81717500	14:81777500:82050000
14:81777500:82050000	14:85635000:86185000
14:85635000:86185000	14:86335000:86777500
14:86335000:86777500	14:88352500:88950000
14:88352500:88950000	14:89450000:90490000
14:89450000:90490000	14:90717500:91262500
14:90717500:91262500	14:91277500:91647500
14:91277500:91647500	14:91980000:92555000
14:91980000:92555000	14:92582500:93312500
14:92582500:93312500	14:93355000:93702500
14:93355000:93702500	14:95525000:95740000
14:95525000:95740000	14:95845000:96015000
14:95845000:96015000	14:96020000:96532500
14:96020000:96532500	14:96757500:96927500
14:96757500:96927500	14:97202500:97560000
14:97202500:97560000	14:97600000:98430000
14:97600000:98430000	14:98435000:98582500
14:98435000:98582500	14:98587500:99915000
14:98587500:99915000	14:100088125:100417500
14:100088125:100417500	14:100422500:100752500
14:100422500:100752500	14:100842500:101155000
14:100842500:101155000	14:101160000:102122500
14:101160000:102122500	14:102132500:102412500
14:102132500:102412500	14:102417500:102590000
14:102417500:102590000	14:102610000:102815000
14:102610000:102815000	14:103152500:103571875
14:103152500:103571875	14:103787500:103957500
14:103787500:103957500	14:104026250:104227500
14:104026250:104227500	14:104540000:105173750
14:104540000:105173750	14:106059375:106851250
14:106059375:106851250	14:106875000:107278207
14:106875000:107278207	15:22721250:23334375
15:22721250:23334375	15:23525000:24477500
15:23525000:24477500	15:24724375:25300625
15:24724375:25300625	15:25492500:25760000
15:25492500:25760000	15:25865000:26530000
15:25865000:26530000	15:29380000:29787500
15:29380000:29787500	15:30040000:30513125
15:30040000:30513125	15:31432500:31973750
15:31432500:31973750	15:32026875:32566250
15:32026875:32566250	15:34330000:34525000
15:34330000:34525000	15:34530000:34902500
15:34530000:34902500	15:34907500:35307500
15:34907500:35307500	15:35750000:36050000
15:35750000:36050000	15:38522500:38700000
15:38522500:38700000	15:38705000:39010000
15:38705000:39010000	15:40070000:40300000
15:40070000:40300000	15:40310000:40620000
15:40310000:40620000	15:40637500:40785625
15:40637500:40785625	15:40820000:41125000
15:40820000:41125000	15:41187500:41475625
15:41187500:41475625	15:42277500:42437500
15:42277500:42437500	15:44116250:44472500
15:44116250:44472500	15:44855000:45305625
15:44855000:45305625	15:45376875:46007500
15:45376875:46007500	15:49007500:49468125
15:49007500:49468125	15:49481875:49742500
15:49481875:49742500	15:51437500:51725000
15:51437500:51725000	15:51890000:52087500
15:51890000:52087500	15:52535000:53112500
15:52535000:53112500	15:53117500:54062500
15:53117500:54062500	15:54192500:55398125
15:54192500:55398125	15:55442500:55625000
15:55442500:55625000	15:55822500:56717500
15:55822500:56717500	15:56727500:57742500
15:56727500:57742500	15:58462500:59198125
15:58462500:59198125	15:59957500:60627500
15:59957500:60627500	15:60632500:60757500
15:60632500:60757500	15:60762500:61397500
15:60762500:61397500	15:61592500:62120000
15:61592500:62120000	15:62125000:62457500
15:62125000:62457500	15:63285000:63562500
15:63285000:63562500	15:63567500:63722500
15:63567500:63722500	15:63732500:63890000
15:63732500:63890000	15:63895000:64027500
15:63895000:64027500	15:64032500:64457500
15:64032500:64457500	15:64692500:65027500
15:64692500:65027500	15:65032500:65317500
15:65032500:65317500	15:65322500:65605000
15:65322500:65605000	15:65697500:66295000
15:65697500:66295000	15:66658750:66857500
15:66658750:66857500	15:66862500:67125000
15:66862500:67125000	15:67157500:67635000
15:67157500:67635000	15:67717500:68157500
15:67717500:68157500	15:68987500:69237500
15:68987500:69237500	15:69242500:69692500
15:69242500:69692500	15:69747500:71127500
15:69747500:71127500	15:71257500:71797500
15:71257500:71797500	15:72027500:72470000
15:72027500:72470000	15:72475000:72580000
15:72475000:72580000	15:72592500:72972500
15:72592500:72972500	15:73847500:74137500
15:73847500:74137500	15:74187500:74363750
15:74187500:74363750	15:74391250:74637500
15:74391250:74637500	15:74642500:74907500
15:74642500:74907500	15:74912500:75302500
15:74912500:75302500	15:75312500:75553750
15:75312500:75553750	15:75581250:75990000
15:75581250:75990000	15:76011250:76250000
15:76011250:76250000	15:77172500:77377500
15:77172500:77377500	15:77382500:77935000
15:77382500:77935000	15:78185000:78512500
15:78185000:78512500	15:79550000:80075000
15:79550000:80075000	15:80137500:80622500
15:80137500:80622500	15:80695000:81270000
15:80695000:81270000	15:81545000:81760000
15:81545000:81760000	15:82001250:82737500
15:82001250:82737500	15:83896250:84875000
15:83896250:84875000	15:84925000:85457500
15:84925000:85457500	15:85482500:85751250
15:85482500:85751250	15:85793750:86295000
15:85793750:86295000	15:86485000:87477500
15:86485000:87477500	15:87812500:88925000
15:87812500:88925000	15:88945000:89415000
15:88945000:89415000	15:89580000:89887500
15:89580000:89887500	15:91580000:92127500
15:91580000:92127500	15:92252500:92693750
15:92252500:92693750	15:92832500:93282500
15:92832500:93282500	15:93287500:93575000
15:93287500:93575000	15:93957500:94650000
15:93957500:94650000	15:94667500:95077500
15:94667500:95077500	15:95770000:96780000
15:95770000:96780000	15:98412500:98827500
15:98412500:98827500	15:98970000:99632500
15:98970000:99632500	15:99767500:100372500
15:99767500:100372500	15:100395000:100898125
15:100395000:100898125	15:100936875:101167500
15:100936875:101167500	15:101172500:101550000
15:101172500:101550000	15:101577500:101827500
15:101577500:101827500	15:101832500:102402500
15:101832500:102402500	16:90000:427500
16:90000:427500	16:856250:1288750
16:856250:1288750	16:1335000:1835000
16:1335000:1835000	16:1845000:2047500
16:1845000:2047500	16:2321875:2610000
16:2321875:2610000	16:3187500:3557500
16:3187500:3557500	16:3712500:3980000
16:3712500:3980000	16:3990000:4317500
16:3990000:4317500	16:4410000:4795625
16:4410000:4795625	16:4818750:5177500
16:4818750:5177500	16:5190000:5657500
16:5190000:5657500	16:5662500:6365000
16:5662500:6365000	16:6390000:6680000
16:6390000:6680000	16:7310000:8318125
16:7310000:8318125	16:9257500:10332500
16:9257500:10332500	16:10337500:10607500
16:10337500:10607500	16:11017500:11482500
16:11017500:11482500	16:11607500:12050625
16:11607500:12050625	16:12162500:13040000
16:12162500:13040000	16:13080000:13960000
16:13080000:13960000	16:15408750:15832500
16:15408750:15832500	16:15900000:16433750
16:15900000:16433750	16:18638125:18906250
16:18638125:18906250	16:18928750:19470000
16:18928750:19470000	16:19572500:19950000
16:19572500:19950000	16:20592500:21412500
16:20592500:21412500	16:21517500:21751250
16:21517500:21751250	16:21763750:22332500
16:21763750:22332500	16:22548750:23092500
16:22548750:23092500	16:23635000:24060000
16:23635000:24060000	16:24065000:24512500
16:24065000:24512500	16:24517500:24868750
16:24517500:24868750	16:25056250:25295000
16:25056250:25295000	16:25782500:26953125
16:25782500:26953125	16:27109375:27642500
16:27109375:27642500	16:28770000:29294375
16:28770000:29294375	16:29548750:30040000
16:29548750:30040000	16:31116250:31498750
16:31116250:31498750	16:31520000:32325000
16:31520000:32325000	16:32465000:32986250
16:32465000:32986250	16:34117500:38077500
16:34117500:38077500	16:43672500:46957500
16:43672500:46957500	16:47025000:48232500
16:47025000:48232500	16:48237500:48775000
16:48237500:48775000	16:50012500:50935000
16:50012500:50935000	16:51047500:52075000
16:51047500:52075000	16:52200000:53000000
16:52200000:53000000	16:53010000:53577500
16:53010000:53577500	16:55912500:56402500
16:55912500:56402500	16:56412500:56745000
16:56412500:56745000	16:56987500:57110000
16:56987500:57110000	16:57127500:57330000
16:57127500:57330000	16:57345000:57580000
16:57345000:57580000	16:57590000:57777500
16:57590000:57777500	16:58552500:58822500
16:58552500:58822500	16:60140000:60552500
16:60140000:60552500	16:65605000:66396250
16:65605000:66396250	16:66920000:67237500
16:66920000:67237500	16:67262500:67497500
16:67262500:67497500	16:67502500:67695000
16:67502500:67695000	16:67822500:67986250
16:67822500:67986250	16:67998750:68270000
16:67998750:68270000	16:68275000:68377500
16:68275000:68377500	16:68382500:68552500
16:68382500:68552500	16:69185000:69352500
16:69185000:69352500	16:69377500:70123750
16:69377500:70123750	16:70700000:70856250
16:70700000:70856250	16:70868750:71237500
16:70868750:71237500	16:71432500:71557500
16:71432500:71557500	16:71742500:72147500
16:71742500:72147500	16:72152500:73187500
16:72152500:73187500	16:73377500:74312500
16:73377500:74312500	16:74385000:74742500
16:74385000:74742500	16:74977500:75187500
16:74977500:75187500	16:75192500:75457500
16:75192500:75457500	16:75497500:75862500
16:75497500:75862500	16:75995000:77180000
16:75995000:77180000	16:77185000:77665000
16:77185000:77665000	16:77670000:78087500
16:77670000:78087500	16:78261250:78820000
16:78261250:78820000	16:79057500:79677500
16:79057500:79677500	16:79845000:80535000
16:79845000:80535000	16:80555000:80995000
16:80555000:80995000	16:81166250:81840000
16:81166250:81840000	16:81917500:82282500
16:81917500:82282500	16:84522500:84777500
16:84522500:84777500	16:84782500:85142500
16:84782500:85142500	16:85842500:86095000
16:85842500:86095000	16:88607500:88776250
16:88607500:88776250	16:88846250:89292500
16:88846250:89292500	16:89297500:89706875
16:89297500:89706875	17:10000:612500
17:10000:612500	17:1527500:1952500
17:1527500:1952500	17:1957500:2311250
17:1957500:2311250	17:2415000:2620000
17:2415000:2620000	17:3742500:4032500
17:3742500:4032500	17:4037500:4342500
17:4037500:4342500	17:4606875:4786250
17:4606875:4786250	17:5052500:5447500
17:5052500:5447500	17:5482500:6447500
17:5482500:6447500	17:6807500:6927500
17:6807500:6927500	17:6932500:7107500
17:6932500:7107500	17:7120000:7568125
17:7120000:7568125	17:7610000:7980625
17:7610000:7980625	17:8230000:8747500
17:8230000:8747500	17:8790000:8962500
17:8790000:8962500	17:9697500:10330000
17:9697500:10330000	17:10532500:10802500
17:10532500:10802500	17:11837500:12142500
17:11837500:12142500	17:12181875:12807500
17:12181875:12807500	17:14247500:15095000
17:14247500:15095000	17:16728750:17227500
17:16728750:17227500	17:17232500:17550625
17:17232500:17550625	17:19082500:19872500
17:19082500:19872500	17:19877500:20276875
17:19877500:20276875	17:20633125:21202500
17:20633125:21202500	17:21207500:21595000
17:21207500:21595000	17:24520000:25988750
17:24520000:25988750	17:26037500:26222500
17:26037500:26222500	17:26287500:26667500
17:26287500:26667500	17:27017500:27280000
17:27017500:27280000	17:27285000:27452500
17:27285000:27452500	17:27882500:28117500
17:27882500:28117500	17:28122500:28417500
17:28122500:28417500	17:28422500:28996875
17:28422500:28996875	17:29902500:30301250
17:29902500:30301250	17:30760000:30967500
17:30760000:30967500	17:31095000:31310000
17:31095000:31310000	17:32707500:33250000
17:32707500:33250000	17:33255000:33445000
17:33255000:33445000	17:33450000:33942500
17:33450000:33942500	17:34787500:35717500
17:34787500:35717500	17:35731875:36427500
17:35731875:36427500	17:36912500:37357500
17:36912500:37357500	17:37922500:38120000
17:37922500:38120000	17:38135000:38347500
17:38135000:38347500	17:38447500:38505000
17:38447500:38505000	17:38510000:38707500
17:38510000:38707500	17:38987500:39892500
17:38987500:39892500	17:40020000:40307500
17:40020000:40307500	17:41627500:41740000
17:41627500:41740000	17:41757500:41947500
17:41757500:41947500	17:42596875:42842500
17:42596875:42842500	17:43241875:43557500
17:43241875:43557500	17:43652500:43992500
17:43652500:43992500	17:44035000:44473750
17:44035000:44473750	17:45975000:46747500
17:45975000:46747500	17:46757500:47031875
17:46757500:47031875	17:47365000:47487500
17:47365000:47487500	17:47492500:47633750
17:47492500:47633750	17:48805000:49060000
17:48805000:49060000	17:49065000:49377500
17:49065000:49377500	17:52922500:53462500
17:52922500:53462500	17:54622500:54880000
17:54622500:54880000	17:54885000:55045000
17:54885000:55045000	17:55050000:55917500
17:55050000:55917500	17:55922500:56290000
17:55922500:56290000	17:56295000:56580000
17:56295000:56580000	17:57287500:57655000
17:57287500:57655000	17:57675000:58157500
17:57675000:58157500	17:58162500:58757500
17:58162500:58757500	17:58762500:59500000
17:58762500:59500000	17:60491875:61050000
17:60491875:61050000	17:61097500:61487500
17:61097500:61487500	17:61702500:61922500
17:61702500:61922500	17:61927500:62232500
17:61927500:62232500	17:62237500:62425625
17:62237500:62425625	17:62446875:62811250
17:62446875:62811250	17:62859375:63137500
17:62859375:63137500	17:63195000:63562500
17:63195000:63562500	17:64180000:64740000
17:64180000:64740000	17:65322500:65780000
17:65322500:65780000	17:66002500:66540000
17:66002500:66540000	17:70545625:71155625
17:70545625:71155625	17:71167500:71382500
17:71167500:71382500	17:71392500:72182500
17:71392500:72182500	17:72931250:73212500
17:72931250:73212500	17:73265625:73417500
17:73265625:73417500	17:73603750:73757500
17:73603750:73757500	17:73949375:74447500
17:73949375:74447500	17:74540000:74778750
17:74540000:74778750	17:74847500:75065000
17:74847500:75065000	17:75075000:75252500
17:75075000:75252500	17:75257500:75481250
17:75257500:75481250	17:75493750:75757500
17:75493750:75757500	17:75762500:76092500
17:75762500:76092500	17:76245000:76450625
17:76245000:76450625	17:77107500:77677500
17:77107500:77677500	17:77702500:77973750
17:77702500:77973750	17:78042500:78372500
17:78042500:78372500	17:78377500:79227500
17:78377500:79227500	17:80142500:80658125
17:80142500:80658125	17:80711250:81152500
17:80711250:81152500	18:62500:582500
18:62500:582500	18:700000:865000
18:700000:865000	18:2302500:2532500
18:2302500:2532500	18:2537500:2802500
18:2537500:2802500	18:3267500:3725000
18:3267500:3725000	18:3742500:4040000
18:3742500:4040000	18:8560000:9052500
18:8560000:9052500	18:9057500:9325625
18:9057500:9325625	18:9334375:9700000
18:9334375:9700000	18:9950000:10627500
18:9950000:10627500	18:10792500:11638125
18:10792500:11638125	18:11695000:12193125
18:11695000:12193125	18:12272500:12657500
18:12272500:12657500	18:12662500:12957500
18:12662500:12957500	18:13162500:13832500
18:13162500:13832500	18:17732500:18727500
18:17732500:18727500	18:18740000:19520625
18:18740000:19520625	18:19552500:20350000
18:19552500:20350000	18:20355000:21017500
18:20355000:21017500	18:21022500:21172500
18:21022500:21172500	18:21177500:21382500
18:21177500:21382500	18:21387500:21775000
18:21387500:21775000	18:22090000:22350000
18:22090000:22350000	18:23487500:24322500
18:23487500:24322500	18:28716875:29085000
18:28716875:29085000	18:29340625:29727500
18:29340625:29727500	18:29732500:30222500
18:29732500:30222500	18:32337500:32792500
18:32337500:32792500	18:32797500:32970000
18:32797500:32970000	18:32975000:33335000
18:32975000:33335000	18:33340000:33587500
18:33340000:33587500	18:33592500:33900000
18:33592500:33900000	18:35135000:35395000
18:35135000:35395000	18:42072500:43157500
18:42072500:43157500	18:43180000:43687500
18:43180000:43687500	18:43692500:43835000
18:43692500:43835000	18:43840000:44325000
18:43840000:44325000	18:44552500:44800000
18:44552500:44800000	18:44887500:45282500
18:44887500:45282500	18:47025000:47475000
18:47025000:47475000	18:48262500:48597500
18:48262500:48597500	18:48602500:48847500
18:48602500:48847500	18:49062500:49645000
18:49062500:49645000	18:51662500:51930000
18:51662500:51930000	18:52335000:52752500
18:52335000:52752500	18:52970000:53997500
18:52970000:53997500	18:54212500:55282500
18:54212500:55282500	18:55522500:55877500
18:55522500:55877500	18:56150000:56455000
18:56150000:56455000	18:57415000:57705000
18:57415000:57705000	18:57710000:58277500
18:57710000:58277500	18:59175000:59822500
18:59175000:59822500	18:59827500:59947500
18:59827500:59947500	18:59960000:60262500
18:59960000:60262500	18:60267500:60662500
18:60267500:60662500	18:60667500:61160000
18:60667500:61160000	18:61165000:61737500
18:61165000:61737500	18:67132500:67850000
18:67132500:67850000	18:68132500:68597500
18:68132500:68597500	18:69587500:69840000
18:69587500:69840000	18:70032500:70388125
18:70032500:70388125	18:70587500:71155000
18:70587500:71155000	18:71677500:72012500
18:71677500:72012500	18:72017500:72252500
18:72017500:72252500	18:72257500:73322500
18:72257500:73322500	18:73532500:74065000
18:73532500:74065000	18:74077500:74460000
18:74077500:74460000	18:76787500:77090000
18:76787500:77090000	18:77107500:77445625
18:77107500:77445625	19:2632500:2955000
19:2632500:2955000	19:3640000:4232500
19:3640000:4232500	19:5032500:5567500
19:5032500:5567500	19:5770000:6010000
19:5770000:6010000	19:6027500:6157500
19:6027500:6157500	19:6513750:7031250
19:6513750:7031250	19:8415000:8750000
19:8415000:8750000	19:9165000:9717500
19:9165000:9717500	19:9722500:9960000
19:9722500:9960000	19:10555000:10818750
19:10555000:10818750	19:11715000:12811250
19:11715000:12811250	19:13299375:13857500
19:13299375:13857500	19:14672500:15127500
19:14672500:15127500	19:15132500:15682500
19:15132500:15682500	19:15687500:16137500
19:15687500:16137500	19:16142500:16295000
19:16142500:16295000	19:17691875:18117500
19:17691875:18117500	19:18553750:19107500
19:18553750:19107500	19:21335000:22127500
19:21335000:22127500	19:23372500:25391250
19:23372500:25391250	19:28885000:29657500
19:28885000:29657500	19:29677500:30025000
19:29677500:30025000	19:30070000:30187500
19:30070000:30187500	19:30215000:30605000
19:30215000:30605000	19:32811250:33067500
19:32811250:33067500	19:33072500:33564375
19:33072500:33564375	19:33712500:33920000
19:33712500:33920000	19:34237500:34607500
19:34237500:34607500	19:34652500:35005000
19:34652500:35005000	19:35217500:35460000
19:35217500:35460000	19:35835000:36172500
19:35835000:36172500	19:36671875:37765000
19:36671875:37765000	19:37785000:38375000
19:37785000:38375000	19:38380000:38712500
19:38380000:38712500	19:40027500:40372500
19:40027500:40372500	19:40387500:40630000
19:40387500:40630000	19:41110000:41320000
19:41110000:41320000	19:41325000:41698750
19:41325000:41698750	19:41706250:41833125
19:41706250:41833125	19:41861875:42122500
19:41861875:42122500	19:42127500:42367500
19:42127500:42367500	19:42570000:43125000
19:42570000:43125000	19:43890000:44167500
19:43890000:44167500	19:44315000:45130000
19:44315000:45130000	19:46512500:46820000
19:46512500:46820000	19:47345000:47555000
19:47345000:47555000	19:47560000:47896250
19:47560000:47896250	19:47930000:48352500
19:47930000:48352500	19:48372500:48607500
19:48372500:48607500	19:48662500:48806250
19:48662500:48806250	19:50437500:50598125
19:50437500:50598125	19:51817500:52225000
19:51817500:52225000	19:52763750:53282500
19:52763750:53282500	19:54282500:54591875
19:54282500:54591875	19:54600625:54742500
19:54600625:54742500	19:55495000:56007500
19:55495000:56007500	19:56022500:56182500
19:56022500:56182500	19:56842500:57597500
19:56842500:57597500	19:57670000:59097690
19:57670000:59097690	2:13125:701875
2:13125:701875	2:715625:1687500
2:715625:1687500	2:2140000:2773125
2:2140000:2773125	2:3202500:3385000
2:3202500:3385000	2:3397500:3842500
2:3397500:3842500	2:3987500:5367500
2:3987500:5367500	2:6940000:7172500
2:6940000:7172500	2:9290000:9547500
2:9290000:9547500	2:9552500:9927500
2:9552500:9927500	2:10208750:10603750
2:10208750:10603750	2:10862500:11212500
2:10862500:11212500	2:11815000:11932500
2:11815000:11932500	2:11937500:12522500
2:11937500:12522500	2:12555000:13237500
2:12555000:13237500	2:15180000:15790000
2:15180000:15790000	2:15795000:16982500
2:15795000:16982500	2:17782500:18552500
2:17782500:18552500	2:19530000:20067500
2:19530000:20067500	2:20072500:20320000
2:20072500:20320000	2:20420000:20560000
2:20420000:20560000	2:20572500:20860000
2:20572500:20860000	2:20865000:21310000
2:20865000:21310000	2:23907500:24367500
2:23907500:24367500	2:24607500:25079375
2:24607500:25079375	2:25429375:25787500
2:25429375:25787500	2:27250000:27527500
2:27250000:27527500	2:27707500:27900000
2:27707500:27900000	2:27905000:28767500
2:27905000:28767500	2:28772500:29042500
2:28772500:29042500	2:29145000:29470000
2:29145000:29470000	2:30262500:30937500
2:30262500:30937500	2:30942500:31857500
2:30942500:31857500	2:32035000:32891875
2:32035000:32891875	2:35968125:37057500
2:35968125:37057500	2:38223125:38530000
2:38223125:38530000	2:38535000:38757500
2:38535000:38757500	2:38762500:39085000
2:38762500:39085000	2:39102500:39527500
2:39102500:39527500	2:39532500:40057500
2:39532500:40057500	2:40212500:41990000
2:40212500:41990000	2:41995000:42290000
2:41995000:42290000	2:42302500:42610000
2:42302500:42610000	2:42711250:43017500
2:42711250:43017500	2:43022500:43477500
2:43022500:43477500	2:43482500:43888750
2:43482500:43888750	2:44205000:44642500
2:44205000:44642500	2:44647500:45202500
2:44647500:45202500	2:45207500:45780000
2:45207500:45780000	2:46187500:46677500
2:46187500:46677500	2:46682500:47135000
2:46682500:47135000	2:47140000:47585000
2:47140000:47585000	2:47619375:47990000
2:47619375:47990000	2:47995000:48340000
2:47995000:48340000	2:48345000:48863125
